date,title_el,title_en,who_el,who_en,what_el,what_en,where_el,where_en,when_el,when_en,why_el,why_en,lat,lng,region_el,region_en,photo_url,actor_photos,actor_names_el,actor_names_en,sources,youtube_url,chart_type,chart_data,tags_el,tags_en
2025-09-08,Η κύρια ανάκριση κλείνει με 36 κατηγορουμένους,The main investigation closes with 36 defendants,Ο εφέτης ανακριτής και η Εισαγγελία Εφετών Λάρισας.,The appellate investigating judge and the Larisa Court of Appeal prosecutor's office.,Αναφέρεται ότι η κύρια ανάκριση έκλεισε με 36 κατηγορουμένους και ο φάκελος διαβιβάστηκε στην Εισαγγελία Εφετών Λάρισας.,The main investigation is reported to have closed with 36 defendants and the file was forwarded to the Larisa Court of Appeal prosecutor's office.,Λάρισα.,Larisa.,"2025-09-08, 18:53.","2025-09-08, 18:53.",Αποτελεί καθοριστικό ορόσημο πριν από τον προσδιορισμό και την έναρξη της κύριας δίκης.,It is a decisive milestone before the scheduling and opening of the main trial.,39.6390,22.4191,Θεσσαλία,Thessaly,,,,,Report PDF::file:///Users/troboukis/Downloads/%CE%91%CE%BD%CE%B1%CE%BB%CF%85%CF%84%CE%B9%CE%BA%CE%B7%CC%81%20%CF%87%CF%81%CE%BF%CE%BD%CE%BF%CE%B3%CF%81%CE%B1%CE%BC%CE%BC%CE%B7%CC%81%20%CE%B3%CE%B9%CE%B1%20%CF%84%CE%B1%20%CE%B2%CE%B9%CC%81%CE%BD%CF%84%CE%B5%CE%BF%20%CF%84%CE%BF%CF%85%20%CE%B4%CF%85%CF%83%CF%84%CF%85%CF%87%CE%B7%CC%81%CE%BC%CE%B1%CF%84%CE%BF%CF%82%20%CF%83%CF%84%CE%B1%20%CE%A4%CE%B5%CC%81%CE%BC%CF%80%CE%B7%20%CE%BA%CE%B1%CE%B9%20%CF%84%CE%B9%CF%82%20%CE%B4%CE%B9%CE%BA%CE%B1%CF%83%CF%84%CE%B9%CE%BA%CE%B5%CC%81%CF%82%20%CE%B5%CE%BE%CE%B5%CE%BB%CE%B9%CC%81%CE%BE%CE%B5%CE%B9%CF%82.pdf,,,,κύρια δίκη|ανάκριση|κατηγορούμενοι,main_trial|investigation|defendants
2025-10-14,Ορίζεται η έναρξη της κύριας δίκης για τις 23 Μαρτίου 2026,The opening of the main trial is set for 23 March 2026,Η Εισαγγελία Εφετών Λάρισας.,The Larisa Court of Appeal prosecutor's office.,"Ορίζεται ως ημερομηνία έναρξης της κύριας δίκης η 23η Μαρτίου 2026, με τόπο διεξαγωγής τον χώρο Γαιόπολις.","23 March 2026 is set as the start date of the main trial, with Gaiopolis as the venue.","Λάρισα, Γαιόπολις, Πανεπιστήμιο Θεσσαλίας.","Larisa, Gaiopolis, University of Thessaly.",2025-10-14 (δημοσίευση/ορισμός).,2025-10-14 (publication/scheduling).,Μεταβαίνει η υπόθεση από την ανάκριση στην ακροαματική διαδικασία.,The case moves from investigation to the trial phase.,39.6374,22.3795,Θεσσαλία,Thessaly,,,,,Report PDF::file:///Users/troboukis/Downloads/%CE%91%CE%BD%CE%B1%CE%BB%CF%85%CF%84%CE%B9%CE%BA%CE%B7%CC%81%20%CF%87%CF%81%CE%BF%CE%BD%CE%BF%CE%B3%CF%81%CE%B1%CE%BC%CE%BC%CE%B7%CC%81%20%CE%B3%CE%B9%CE%B1%20%CF%84%CE%B1%20%CE%B2%CE%B9%CC%81%CE%BD%CF%84%CE%B5%CE%BF%20%CF%84%CE%BF%CF%85%20%CE%B4%CF%85%CF%83%CF%84%CF%85%CF%87%CE%B7%CC%81%CE%BC%CE%B1%CF%84%CE%BF%CF%82%20%CF%83%CF%84%CE%B1%20%CE%A4%CE%B5%CC%81%CE%BC%CF%80%CE%B7%20%CE%BA%CE%B1%CE%B9%20%CF%84%CE%B9%CF%82%20%CE%B4%CE%B9%CE%BA%CE%B1%CF%83%CF%84%CE%B9%CE%BA%CE%B5%CC%81%CF%82%20%CE%B5%CE%BE%CE%B5%CE%BB%CE%B9%CC%81%CE%BE%CE%B5%CE%B9%CF%82.pdf,,,,κύρια δίκη|δικάσιμος|Γαιόπολις,main_trial|hearing|gaiopolis
2025-10-15,Απορρίπτεται νέο αίτημα αναβολής και η δίκη διακόπτεται,A new adjournment request is rejected and the trial is interrupted,"Πρόεδρος του δικαστηρίου, εισαγγελέας, ο πρώην πρόεδρος του ΟΣΕ Σπύρος Πατέρας, ο διευθύνων σύμβουλος του ΟΣΕ Παναγιώτης Τερεζάκης, ο νόμιμος εκπρόσωπος της Interstar Security, υπεράσπιση και πολιτική αγωγή.","Πρόεδρος of the δικαστηρίου, prosecutor, ο πρώην πρόεδρος of the OSE Spyros Pateras, ο διευθύνων σύμβουλος of the OSE Panagiotis Terezakis, ο νόμιμος εκπρόσωπος of the Interstar Security, defense and civil action side.","Το δικαστήριο απορρίπτει νέο αίτημα αναβολής, αλλά διακόπτει τη συνεδρίαση για τις 30 Οκτωβρίου 2025.","The court απορρίπτει νέο αίτημα αναβολής, αλλά διακόπτει τη συνεδρίαση for τις 30 Οκτωβρίου 2025.",Μονομελές Πλημμελειοδικείο Λάρισας.,Single-Member Misdemeanor Court of Larisa.,2025-10-15.,2025-10-15.,Η διαδικασία δεν ολοκληρώνεται την ίδια ημέρα και μεταφέρεται σε νέα δικάσιμο.,The διαδικασία not ολοκληρώνεται the ίδια ημέρα and μεταφέρεται in νέα δικάσιμο.,39.6390,22.4191,Θεσσαλία,Thessaly,,,"Σπύρος Πατέρας, Παναγιώτης Τερεζάκης","Spyros Pateras, Panagiotis Terezakis",Usay 15/10/2025::NaN|in.gr 15/10/2025::NaN|OnLarissa 30/10/2025::NaN,,,,διαδικασία|δικάσιμοι|κατηγορούμενοι,procedure|hearings|defendants
2025-10-15,Το δικαστήριο ζητά αυτοπρόσωπη παρουσία όλων των κατηγορουμένων,The court orders the personal appearance of all defendants,"Έδρα του δικαστηρίου, ο πρώην πρόεδρος του ΟΣΕ Σπύρος Πατέρας, ο διευθύνων σύμβουλος του ΟΣΕ Παναγιώτης Τερεζάκης και ο νόμιμος εκπρόσωπος της Interstar Security.","Έδρα of the δικαστηρίου, ο πρώην πρόεδρος of the OSE Spyros Pateras, ο διευθύνων σύμβουλος of the OSE Panagiotis Terezakis and ο νόμιμος εκπρόσωπος of the Interstar Security.",Η έδρα διατάσσει να παρευρεθούν αυτοπροσώπως όλοι οι κατηγορούμενοι στην επόμενη δικάσιμο.,The bench διατάσσει to παρευρεθούν αυτοπροσώπως όλοι οι defendants in the επόμενη δικάσιμο.,Μονομελές Πλημμελειοδικείο Λάρισας.,Single-Member Misdemeanor Court of Larisa.,2025-10-15.,2025-10-15.,Θέλει να διασφαλίσει πλήρη παρουσία των κατηγορουμένων στη συνέχιση της διαδικασίας.,Θέλει to διασφαλίσει πλήρη παρουσία of the κατηγορουμένων at the συνέχιση of the διαδικασίας.,39.6390,22.4191,Θεσσαλία,Thessaly,,,"Σπύρος Πατέρας, Παναγιώτης Τερεζάκης","Spyros Pateras, Panagiotis Terezakis","TheNewspaper 30/10/2025::NaN|Συνέντευξη 05/04/2026, γραμμή 23::file:///Users/troboukis/Code/timeline-app/tempi/videos-trial/source-transcriptions/konstantopoulou_5_4_2026.txt|OnLarissa 30/10/2025::NaN",,,,διαδικασία|κατηγορούμενοι,procedure|defendants
2025-10-30,Η δίκη διακόπτεται ξανά μέσα σε ένταση,The trial is interrupted again amid tension,"Δικαστήριο, ο πρώην πρόεδρος του ΟΣΕ Σπύρος Πατέρας, ο διευθύνων σύμβουλος του ΟΣΕ Παναγιώτης Τερεζάκης, ο νόμιμος εκπρόσωπος της Interstar Security, υπεράσπιση, συγγενείς θυμάτων και συνήγοροι.","Δικαστήριο, ο πρώην πρόεδρος of the OSE Spyros Pateras, ο διευθύνων σύμβουλος of the OSE Panagiotis Terezakis, ο νόμιμος εκπρόσωπος of the Interstar Security, defense, relatives of the victims and συνήγοροι.",Η συνεδρίαση διεξάγεται σε πολεμικό κλίμα και διακόπτεται για τις 28 Νοεμβρίου 2025.,The hearing διεξάγεται in πολεμικό κλίμα and διακόπτεται for τις 28 Νοεμβρίου 2025.,Λάρισα.,Larisa.,2025-10-30.,2025-10-30.,Η ένταση στην αίθουσα και η εκκρεμότητα της διαδικασίας δεν επιτρέπουν ολοκλήρωση της εξέτασης.,The ένταση in the αίθουσα and η εκκρεμότητα of the διαδικασίας not επιτρέπουν ολοκλήρωση of the εξέτασης.,39.6390,22.4191,Θεσσαλία,Thessaly,,,"Σπύρος Πατέρας, Παναγιώτης Τερεζάκης","Spyros Pateras, Panagiotis Terezakis",Larissanet 30/10/2025::NaN|TheNewspaper 30/10/2025::NaN|OnLarissa 30/10/2025::NaN,,,,διαδικασία|ένταση|κατηγορούμενοι,procedure|tension|defendants
2025-11-28,Η δίκη συνεχίζεται με παρόντες τους τρεις κατηγορουμένους,The trial continues with the three defendants present,"Ο πρώην πρόεδρος του ΟΣΕ Σπύρος Πατέρας, ο διευθύνων σύμβουλος του ΟΣΕ Παναγιώτης Τερεζάκης, ο νόμιμος εκπρόσωπος της Interstar Security, συγγενείς θυμάτων, συνήγοροι και δικαστήριο.","The πρώην πρόεδρος of the OSE Spyros Pateras, ο διευθύνων σύμβουλος of the OSE Panagiotis Terezakis, ο νόμιμος εκπρόσωπος of the Interstar Security, relatives of the victims, συνήγοροι and court.",Η δίκη επανεκκινεί και η έδρα διακόπτει προσωρινά για να βρεθεί μεγαλύτερη αίθουσα.,The trial επανεκκινεί and η έδρα διακόπτει προσωρινά for to βρεθεί μεγαλύτερη αίθουσα.,Μονομελές Πλημμελειοδικείο Λάρισας.,Single-Member Misdemeanor Court of Larisa.,2025-11-28.,2025-11-28.,Η σύνθεση του ακροατηρίου και ο μεγάλος αριθμός δικηγόρων απαιτούν μεγαλύτερο χώρο.,The σύνθεση of the ακροατηρίου and ο μεγάλος αριθμός δικηγόρων απαιτούν μεγαλύτερο χώρο.,39.6390,22.4191,Θεσσαλία,Thessaly,,,"Σπύρος Πατέρας, Παναγιώτης Τερεζάκης","Spyros Pateras, Panagiotis Terezakis",CNN.gr 28/11/2025::https://www.cnn.gr/ellada/story/507564/tempi-synexizetai-i-diki-gia-ta-vinteo-fortosis-tis-emporikis-amaksostoixias|OnLarissa 28/11/2025::NaN,,,,διαδικασία|ακροατήριο|κατηγορούμενοι,procedure|courtroom|defendants
2026-01-12,Ανοίγει αντιπαράθεση για τον τόπο φόρτωσης του εμπορικού τρένου,A dispute opens over the loading site of the freight train,"Δικηγόρος της Interstar, συγγενείς θυμάτων και δικαστήριο.","Δικηγόρος of the Interstar, relatives of the victims and court.","Κατατίθεται έγγραφο που υποστηρίζει ότι η φόρτωση έγινε στο «Τρίγωνο», σημείο χωρίς κάμερες.","Κατατίθεται έγγραφο που υποστηρίζει ότι η φόρτωση έγινε at the «Τρίγωνο», σημείο χωρίς κάμερες.",Δικαστικό Μέγαρο Λάρισας.,Larisa Courthouse.,2026-01-12.,2026-01-12.,Η υπεράσπιση επιχειρεί να εξηγήσει γιατί δεν υπάρχουν κάμερες από το σημείο φόρτωσης.,The defense επιχειρεί to εξηγήσει γιατί not υπάρχουν κάμερες from το σημείο φόρτωσης.,39.6390,22.4191,Θεσσαλία,Thessaly,,,,,Topontiki 12/01/2026::NaN,,,,βίντεο|υπεράσπιση,videos|defense
2026-01-23,Η Interstar παραδέχεται χειροκίνητες διαγραφές βίντεο,Interstar admits manual video deletions,"Εκπρόσωπος της Interstar, δικαστήριο, συγγενείς και συνήγοροι.","Εκπρόσωπος of the Interstar, court, συγγενείς and συνήγοροι.",Ο εκπρόσωπος της εταιρείας παραδέχεται ότι βίντεο από κάμερες ασφαλείας διαγράφηκαν χειροκίνητα.,The εκπρόσωπος of the εταιρείας παραδέχεται ότι βίντεο from κάμερες ασφαλείας διαγράφηκαν χειροκίνητα.,Δίκη για τα βίντεο στη Λάρισα.,Δίκη for τα βίντεο at the Larisa.,2026-01-23.,2026-01-23.,Υποστηρίζει ότι το υλικό δεν είχε καταγραφεί σωστά λόγω κακής ποιότητας σήματος.,Υποστηρίζει ότι το υλικό not είχε καταγραφεί σωστά λόγω κακής ποιότητας σήματος.,39.6390,22.4191,Θεσσαλία,Thessaly,,,,,Libre 23/01/2026::NaN,,,,βίντεο|διαγραφές,videos|deletions
2026-02-05,Ο Άρειος Πάγος απορρίπτει αίτημα αλλαγής τόπου διεξαγωγής,The Supreme Court rejects a request to change the venue,"Ο Άρειος Πάγος, με αναφορά σε αίτημα οκτώ συγγενών θυμάτων.","The Supreme Court, with reference to a request by eight victims' relatives.",Απορρίπτεται το αίτημα αλλαγής τόπου διεξαγωγής και η κύρια δίκη οριστικοποιείται ότι θα γίνει στη Λάρισα.,The request to change the venue is rejected and the main trial is finalized to take place in Larisa.,Λάρισα / Άρειος Πάγος.,Larisa / Supreme Court.,"2026-02-05, 11:09.","2026-02-05, 11:09.",Σταθεροποιεί τον τόπο διεξαγωγής της κύριας δίκης και επηρεάζει το καθεστώς πρόσβασης και δημοσιότητας.,It settles the venue of the main trial and affects access and publicity conditions.,39.6390,22.4191,Θεσσαλία,Thessaly,,,,,Report PDF::file:///Users/troboukis/Downloads/%CE%91%CE%BD%CE%B1%CE%BB%CF%85%CF%84%CE%B9%CE%BA%CE%B7%CC%81%20%CF%87%CF%81%CE%BF%CE%BD%CE%BF%CE%B3%CF%81%CE%B1%CE%BC%CE%BC%CE%B7%CC%81%20%CE%B3%CE%B9%CE%B1%20%CF%84%CE%B1%20%CE%B2%CE%B9%CC%81%CE%BD%CF%84%CE%B5%CE%BF%20%CF%84%CE%BF%CF%85%20%CE%B4%CF%85%CF%83%CF%84%CF%85%CF%87%CE%B7%CC%81%CE%BC%CE%B1%CF%84%CE%BF%CF%82%20%CF%83%CF%84%CE%B1%20%CE%A4%CE%B5%CC%81%CE%BC%CF%80%CE%B7%20%CE%BA%CE%B1%CE%B9%20%CF%84%CE%B9%CF%82%20%CE%B4%CE%B9%CE%BA%CE%B1%CF%83%CF%84%CE%B9%CE%BA%CE%B5%CC%81%CF%82%20%CE%B5%CE%BE%CE%B5%CE%BB%CE%B9%CC%81%CE%BE%CE%B5%CE%B9%CF%82.pdf,,,,κύρια δίκη|τόπος διεξαγωγής,main_trial|venue
2026-02-13,Αναγγέλλεται μήνυση κατά του Βασίλη Καπερνάρου,A criminal complaint against Vasilis Kapernaros is announced,"Ζωή Κωνσταντοπούλου, Πάνος Ρούτσι και Βασίλης Καπερνάρος.","Zoe Konstantopoulou, Πάνος Ρούτσι and Vasilis Kapernaros.",Ανακοινώνεται ότι θα υποβληθεί μήνυση κατά του Καπερνάρου για συμπεριφορές και παρεμβάσεις στη δίκη.,Ανακοινώνεται ότι θα υποβληθεί μήνυση κατά of the Καπερνάρου for συμπεριφορές and παρεμβάσεις at the δίκη.,Δικαστικό Μέγαρο Λάρισας.,Larisa Courthouse.,2026-02-13.,2026-02-13.,Η πολιτική αγωγή καταγγέλλει προσβλητική και παρεμποδιστική συμπεριφορά μέσα και γύρω από το ακροατήριο.,The civil action side καταγγέλλει προσβλητική and παρεμποδιστική συμπεριφορά μέσα and γύρω from το ακροατήριο.,39.6390,22.4191,Θεσσαλία,Thessaly,,,"Ζωή Κωνσταντοπούλου, Βασίλης Καπερνάρος","Zoe Konstantopoulou, Vasilis Kapernaros",ANT1 13/02/2026::NaN|Dikastiko 13/02/2026::NaN,,,,μηνύσεις|ένταση,complaints|tension
2026-02-13,Συνεχίζεται η κατάθεση του Αντώνη Ψαρόπουλου,The testimony of Antonis Psaropoulos continues,"Αντώνης Ψαρόπουλος, δικαστήριο και διάδικοι.","Antonis Psaropoulos, court and διάδικοι.",Η εξέταση του μάρτυρα συνεχίζεται και η δίκη παίρνει νέα δικάσιμο.,The εξέταση of the μάρτυρα συνεχίζεται and η δίκη παίρνει νέα δικάσιμο.,Λάρισα.,Larisa.,2026-02-13.,2026-02-13.,Η κατάθεση δεν ολοκληρώνεται στην ίδια συνεδρίαση.,The κατάθεση not ολοκληρώνεται in the ίδια συνεδρίαση.,39.6390,22.4191,Θεσσαλία,Thessaly,,,Αντώνης Ψαρόπουλος,Antonis Psaropoulos,Larissanet 13/02/2026::NaN,,,,διαδικασία|μάρτυρες,procedure|witnesses
2026-02-24,Απορρίπτεται αίτημα να κληθεί ο εφέτης ανακριτής ως μάρτυρας,A request to call the appellate investigating judge as a witness is rejected,"Δικαστήριο, πολιτική αγωγή και εφέτης ανακριτής Σωτήρης Μπακαΐμης.","Δικαστήριο, civil action side and appellate investigating judge Sotiris Bakaimis.",Το δικαστήριο συνεχίζει την εξέταση μαρτύρων και απορρίπτει αίτημα να κληθεί ο εφέτης ανακριτής.,The court συνεχίζει the εξέταση μαρτύρων and απορρίπτει αίτημα to κληθεί ο appellate investigating judge.,Μονομελές Πλημμελειοδικείο Λάρισας.,Single-Member Misdemeanor Court of Larisa.,2026-02-24.,2026-02-24.,Η έδρα κρίνει ότι η εξέταση του συγκεκριμένου μάρτυρα δεν πρέπει να προστεθεί στη φάση εκείνη.,The bench κρίνει ότι η εξέταση of the συγκεκριμένου μάρτυρα not πρέπει to προστεθεί at the φάση εκείνη.,39.6390,22.4191,Θεσσαλία,Thessaly,,,Σωτήρης Μπακαΐμης,Sotiris Bakaimis,OnLarissa 24/02/2026::NaN|Ieidiseis 24/02/2026::NaN,,,,διαδικασία|μάρτυρες,procedure|witnesses
2026-03-05,Αναφέρεται καθυστερημένο αίτημα για βίντεο από τους Νέους Πόρους,A delayed request for video from Neoi Poroi is reported,Δικαστικός πραγματογνώμονας.,Judicial expert witness.,Αναφέρεται ότι ζητήθηκε βίντεο από τον σταθμό Νέων Πόρων 16 ημέρες μετά το δυστύχημα και δόθηκε απάντηση ότι τέτοιο υλικό δεν διατηρήθηκε.,It is reported that footage from Neoi Poroi station was requested 16 days after the crash and the reply was that such material had not been retained.,Λάρισα / Νέοι Πόροι.,Larisa / Neoi Poroi.,"2026-03-05, 16:18.","2026-03-05, 16:18.",Αναδεικνύει πρακτικό πρόβλημα διατήρησης CCTV και την επίδρασή του στην απόδειξη.,It highlights a practical CCTV retention problem and its effect on evidentiary proof.,39.9769,22.6521,Θεσσαλία,Thessaly,,,,,Report PDF::file:///Users/troboukis/Downloads/%CE%91%CE%BD%CE%B1%CE%BB%CF%85%CF%84%CE%B9%CE%BA%CE%B7%CC%81%20%CF%87%CF%81%CE%BF%CE%BD%CE%BF%CE%B3%CF%81%CE%B1%CE%BC%CE%BC%CE%B7%CC%81%20%CE%B3%CE%B9%CE%B1%20%CF%84%CE%B1%20%CE%B2%CE%B9%CC%81%CE%BD%CF%84%CE%B5%CE%BF%20%CF%84%CE%BF%CF%85%20%CE%B4%CF%85%CF%83%CF%84%CF%85%CF%87%CE%B7%CC%81%CE%BC%CE%B1%CF%84%CE%BF%CF%82%20%CF%83%CF%84%CE%B1%20%CE%A4%CE%B5%CC%81%CE%BC%CF%80%CE%B7%20%CE%BA%CE%B1%CE%B9%20%CF%84%CE%B9%CF%82%20%CE%B4%CE%B9%CE%BA%CE%B1%CF%83%CF%84%CE%B9%CE%BA%CE%B5%CC%81%CF%82%20%CE%B5%CE%BE%CE%B5%CE%BB%CE%B9%CC%81%CE%BE%CE%B5%CE%B9%CF%82.pdf,,,,βίντεο|CCTV|διατήρηση δεδομένων,videos|cctv|data_retention
2026-03-06,Αποκαλύπτεται ότι υπάρχει επιπλέον οπτικό υλικό στην κατοχή πραγματογνώμονα,It is revealed that additional visual material is held by an expert witness,"Πραγματογνώμονας Πατζόπουλος, συνήγοροι πολιτικής αγωγής και δικαστήριο.","Πραγματογνώμονας Patzopoulos, lawyers for the victims' side and court.","Κατά την εξέταση του πραγματογνώμονα έρχεται στο ακροατήριο ότι έχει βίντεο και φωτογραφίες από το πεδίο στο κινητό και στο σπίτι του, χωρίς να τα έχει εντάξει στη δικογραφία.","Κατά the εξέταση of the πραγματογνώμοto έρχεται at the ακροατήριο ότι έχει βίντεο and φωτογραφίες from το πεδίο at the κινητό and at the σπίτι του, χωρίς to τα έχει εντάξει at the δικογραφία.",Μονομελές Πλημμελειοδικείο Λάρισας.,Single-Member Misdemeanor Court of Larisa.,2026-03-06.,2026-03-06.,Η πολιτική αγωγή πιέζει να ελεγχθεί αν υπάρχει αδήλωτο ή παρακρατημένο υλικό.,The civil action side πιέζει to ελεγχθεί αν υπάρχει αδήλωτο ή παρακρατημένο υλικό.,39.6390,22.4191,Θεσσαλία,Thessaly,,,Πατζόπουλος,Patzopoulos,"Larissanet 06/03/2026::NaN|Συνέντευξη 05/04/2026, γραμμή 23::file:///Users/troboukis/Code/timeline-app/tempi/videos-trial/source-transcriptions/konstantopoulou_5_4_2026.txt|Report PDF::file:///Users/troboukis/Downloads/%CE%91%CE%BD%CE%B1%CE%BB%CF%85%CF%84%CE%B9%CE%BA%CE%B7%CC%81%20%CF%87%CF%81%CE%BF%CE%BD%CE%BF%CE%B3%CF%81%CE%B1%CE%BC%CE%BC%CE%B7%CC%81%20%CE%B3%CE%B9%CE%B1%20%CF%84%CE%B1%20%CE%B2%CE%B9%CC%81%CE%BD%CF%84%CE%B5%CE%BF%20%CF%84%CE%BF%CF%85%20%CE%B4%CF%85%CF%83%CF%84%CF%85%CF%87%CE%B7%CC%81%CE%BC%CE%B1%CF%84%CE%BF%CF%82%20%CF%83%CF%84%CE%B1%20%CE%A4%CE%B5%CC%81%CE%BC%CF%80%CE%B7%20%CE%BA%CE%B1%CE%B9%20%CF%84%CE%B9%CF%82%20%CE%B4%CE%B9%CE%BA%CE%B1%CF%83%CF%84%CE%B9%CE%BA%CE%B5%CC%81%CF%82%20%CE%B5%CE%BE%CE%B5%CE%BB%CE%B9%CC%81%CE%BE%CE%B5%CE%B9%CF%82.pdf",,,,βίντεο|αποκάλυψη,videos|disclosure
2026-03-06,Η πρώτη κατάσχεση χαρακτηρίζεται ελλιπής,The first seizure is described as incomplete,"Η Ζωή Κωνσταντοπούλου, αστυνομικοί, ο Παναγιώτης Πατζόπουλος και η πρόεδρος Αποστολία Ζαχαριάδη.","The Zoe Konstantopoulou, αστυνομικοί, ο Panagiotis Patzopoulos and η πρόεδρος Apostolia Zachariadi.",Η πολιτική αγωγή καταγγέλλει ότι η κατάσχεση δεν έγινε αυθημερόν στο σπίτι αλλά με τηλεφωνική συνεννόηση και απλή μεταφορά υλικού.,The civil action side καταγγέλλει ότι η κατάσχεση not έγινε αυθημερόν at the σπίτι αλλά with τηλεφωνική συνεννόηση and απλή μεταφορά υλικού.,Λάρισα και σπίτι του πραγματογνώμονα.,Larisa and σπίτι of the πραγματογνώμονα.,2026-03-06.,2026-03-06.,Υποστηρίζει ότι έτσι δεν διασφαλίστηκε η ακεραιότητα των πρωτότυπων φορέων.,Υποστηρίζει ότι έτσι not διασφαλίστηκε η ακεραιότητα of the πρωτότυπων φορέων.,39.6390,22.4191,Θεσσαλία,Thessaly,,,"Ζωή Κωνσταντοπούλου, Παναγιώτης Πατζόπουλος, Αποστολία Ζαχαριάδη","Zoe Konstantopoulou, Panagiotis Patzopoulos, Apostolia Zachariadi","Συνέντευξη 05/04/2026, γραμμές 27, 51-55::file:///Users/troboukis/Code/timeline-app/tempi/videos-trial/source-transcriptions/konstantopoulou_5_4_2026.txt|Report PDF::file:///Users/troboukis/Downloads/%CE%91%CE%BD%CE%B1%CE%BB%CF%85%CF%84%CE%B9%CE%BA%CE%B7%CC%81%20%CF%87%CF%81%CE%BF%CE%BD%CE%BF%CE%B3%CF%81%CE%B1%CE%BC%CE%BC%CE%B7%CC%81%20%CE%B3%CE%B9%CE%B1%20%CF%84%CE%B1%20%CE%B2%CE%B9%CC%81%CE%BD%CF%84%CE%B5%CE%BF%20%CF%84%CE%BF%CF%85%20%CE%B4%CF%85%CF%83%CF%84%CF%85%CF%87%CE%B7%CC%81%CE%BC%CE%B1%CF%84%CE%BF%CF%82%20%CF%83%CF%84%CE%B1%20%CE%A4%CE%B5%CC%81%CE%BC%CF%80%CE%B7%20%CE%BA%CE%B1%CE%B9%20%CF%84%CE%B9%CF%82%20%CE%B4%CE%B9%CE%BA%CE%B1%CF%83%CF%84%CE%B9%CE%BA%CE%B5%CC%81%CF%82%20%CE%B5%CE%BE%CE%B5%CE%BB%CE%B9%CC%81%CE%BE%CE%B5%CE%B9%CF%82.pdf",,,,κατασχέσεις|αμφισβήτηση ακεραιότητας,seizures|integrity_dispute
2026-03-06,Το δικαστήριο διατάσσει κατάσχεση φωτογραφιών και βίντεο των πραγματογνωμόνων,The court orders the seizure of the experts’ photos and videos,"Η πρόεδρος Αποστολία Ζαχαριάδη, η εισαγγελέας της έδρας, ο Παναγιώτης Πατζόπουλος, ο Βασιλάκος και η πολιτική αγωγή.","The presiding judge Apostolia Zachariadi, η bench prosecutor, ο Panagiotis Patzopoulos, ο Vasilakos and η civil action side.","Η έδρα διατάσσει άμεση κατάσχεση ψηφιακών αρχείων, φωτογραφιών και βίντεο που έχουν οι πραγματογνώμονες.","The bench διατάσσει άμεση κατάσχεση ψηφιακών αρχείων, φωτογραφιών and βίντεο που έχουν οι πραγματογνώμονες.",Λάρισα.,Larisa.,2026-03-06.,2026-03-06.,Θέλει να διασφαλίσει ότι το υλικό θα ενταχθεί στη δίκη και δεν θα μείνει ανεξέλεγκτο.,Θέλει to διασφαλίσει ότι το υλικό θα ενταχθεί at the δίκη and not θα μείνει ανεξέλεγκτο.,39.6390,22.4191,Θεσσαλία,Thessaly,,,"Παναγιώτης Πατζόπουλος, Βασιλάκος, Αποστολία Ζαχαριάδη","Panagiotis Patzopoulos, Vasilakos, Apostolia Zachariadi","Oparlapipas 06/03/2026::NaN|Συνέντευξη 05/04/2026, γραμμή 27::file:///Users/troboukis/Code/timeline-app/tempi/videos-trial/source-transcriptions/konstantopoulou_5_4_2026.txt|Report PDF::file:///Users/troboukis/Downloads/%CE%91%CE%BD%CE%B1%CE%BB%CF%85%CF%84%CE%B9%CE%BA%CE%B7%CC%81%20%CF%87%CF%81%CE%BF%CE%BD%CE%BF%CE%B3%CF%81%CE%B1%CE%BC%CE%BC%CE%B7%CC%81%20%CE%B3%CE%B9%CE%B1%20%CF%84%CE%B1%20%CE%B2%CE%B9%CC%81%CE%BD%CF%84%CE%B5%CE%BF%20%CF%84%CE%BF%CF%85%20%CE%B4%CF%85%CF%83%CF%84%CF%85%CF%87%CE%B7%CC%81%CE%BC%CE%B1%CF%84%CE%BF%CF%82%20%CF%83%CF%84%CE%B1%20%CE%A4%CE%B5%CC%81%CE%BC%CF%80%CE%B7%20%CE%BA%CE%B1%CE%B9%20%CF%84%CE%B9%CF%82%20%CE%B4%CE%B9%CE%BA%CE%B1%CF%83%CF%84%CE%B9%CE%BA%CE%B5%CC%81%CF%82%20%CE%B5%CE%BE%CE%B5%CE%BB%CE%B9%CC%81%CE%BE%CE%B5%CE%B9%CF%82.pdf",,,,κατασχέσεις|βίντεο,seizures|videos
